Geneid	Chr	Start	End	Strand	Length	SRR5364307.sorted.sorted.bam	SRR5364314.sorted.sorted.bam	SRR5364310.sorted.sorted.bam	SRR5364311.sorted.sorted.bam	SRR5364309.sorted.sorted.bam	SRR5364312.sorted.sorted.bam	SRR5364308.sorted.sorted.bam	SRR5364304.sorted.sorted.bam	SRR5364313.sorted.sorted.bam	SRR5364305.sorted.sorted.bam	SRR5364303.sorted.sorted.bam	SRR5364306.sorted.sorted.bam
NM_001035	chr1	237042183	237833988	+	791806	128	165	150	162	147	90	89	122	151	125	139	111
NM_000740	chr1	239629072	239915449	+	286378	14	16	13	13	8	8	5	12	10	13	16	11
NM_020066	chr1	240091882	240475185	+	383304	33	31	38	39	29	23	16	25	36	27	31	26
NM_002924	chr1	240775513	241357230	-	581718	7	9	8	4	2	1	4	6	8	2	5	3
NM_152666	chr1	242088386	242524696	-	436311	9	20	19	9	7	12	6	8	28	9	9	9
NM_022743	chr1	245749339	246417412	-	668074	18145	16845	22268	22247	19293	14747	18383	20698	14219	19825	17350	19019
NM_203342	chr1	28887090	29120046	+	232957	9859	11619	12679	14483	12303	9653	8857	9341	9752	10144	8794	8830
NM_199454	chr1	3069202	3438621	+	369420	19	264	21	40	27	31	9	12	374	17	20	14
NM_001281956	chr1	33513998	34165274	-	651277	5	27	9	8	4	7	6	8	40	7	9	11
NM_000831	chr1	36795526	37034515	-	238990	9	25	10	10	4	5	3	9	29	14	8	7
NM_024503	chr1	41506364	41918922	-	412559	125	165	136	148	128	110	96	148	119	144	132	125
NM_001355224	chr1	42463285	42657190	+	193906	130	181	92	115	94	76	97	148	209	143	124	109
NM_174965	chr1	43707496	43931165	+	223670	4598	5811	5041	6172	5154	4024	4130	5177	5048	5234	4953	4431
NM_001319957	chr1	44424000	44651723	+	227724	1091	1244	1381	1037	1131	1044	900	1725	1177	1420	1683	1356
NM_020883	chr1	45016398	45206605	-	190208	86	235	118	154	93	103	44	76	293	80	62	58
NM_015112	chr1	45803611	46036122	+	232512	4582	5067	6236	6174	5250	4547	4733	4880	4189	5075	4231	4669
NM_001194986	chr1	47760527	47997385	-	236859	1	13	3	4	1	5	1	3	15	1	4	1
NM_032785	chr1	48532853	50023954	-	1491102	30	46	42	51	32	38	39	40	40	29	29	22
NM_007051	chr1	50437027	50960267	-	523241	18636	19422	21188	25226	21738	14790	18985	21225	16194	21063	18055	19098
NM_007324	chr1	52142088	52346686	+	204599	2960	6161	3553	4966	3735	2925	2669	2756	6056	3004	2566	2513
NM_147193	chr1	53506232	53734204	-	227973	10	54	12	17	11	4	9	16	58	6	15	11
NM_145716	chr1	54225431	54406394	-	180964	6598	7899	10333	8570	7470	7301	6218	7193	5929	6953	6617	6723
NM_001353986	chr1	56994777	57424060	-	429284	6	26	12	22	10	8	6	2	37	7	2	8
NM_018291	chr1	59297093	59762727	+	465635	1717	2030	1772	2173	1808	1372	1480	1736	1792	1913	1603	1564
NM_001145512	chr1	61081738	61462788	+	381051	11196	15201	11471	14368	12289	8371	10068	11121	14650	11987	10690	10218
NM_176877	chr1	61742479	62163949	+	421471	12	27	17	24	10	14	4	14	58	6	10	13
NM_001083592	chr1	63774016	64143369	+	369354	2	3	2	4	2	4	1	3	8	5	5	1
NM_001293274	chr1	64505913	64693058	+	187146	4	6	5	4	0	2	3	5	8	7	3	1
NM_002303	chr1	65420651	65637493	+	216843	5477	4757	7332	8760	7297	5502	5030	4837	4274	5667	4494	5179
NM_001297441	chr1	65913244	66374579	+	461336	6	14	0	10	4	6	3	5	14	4	4	3
NM_001308203	chr1	66533592	66751139	+	217548	22	184	19	32	36	28	16	20	148	16	16	14
NM_015215	chr1	6785453	7769706	+	984254	2523	1825	3189	2967	2652	2263	2665	2703	1569	2772	2470	2699
NM_001350216	chr1	69568753	70144363	+	575611	193	607	229	400	265	197	225	247	621	224	214	195
NM_173808	chr1	71395942	72282539	-	886598	4	4	3	5	0	3	3	5	5	4	4	0
NM_001112808	chr1	74198211	74544432	+	346222	578	623	481	701	598	442	377	564	677	634	477	461
NM_015978	chr1	74235386	74544426	+	309041	0	0	0	0	0	0	0	0	0	0	0	0
NM_001320283	chr1	75204474	75616163	-	411690	1392	1690	1239	1965	1456	968	1270	1480	1548	1442	1289	1268
NM_152996	chr1	76074745	76634603	+	559859	36	208	40	82	54	27	25	33	242	48	54	29
NM_030965	chr1	76867479	77067546	+	200068	12	8	5	8	7	3	9	1	4	5	7	7
NM_012093	chr1	77283086	77559966	+	276881	13	33	11	23	14	19	6	17	52	10	15	8
NM_001297704	chr1	81699769	81993932	+	294164	6	7	4	6	4	1	1	2	5	4	2	8
NM_001134445	chr1	85318484	85578200	-	259717	266	654	402	527	327	376	216	233	726	285	228	213
NM_001349955	chr1	85729232	86156471	-	427240	5	5	7	7	6	3	6	8	12	6	6	7
NM_012262	chr1	86914634	87109982	+	195349	4547	3980	5860	6647	5619	4115	4619	4398	3326	4684	3737	4233
NM_003243	chr1	91680342	91886151	-	205810	2494	2731	3233	3368	2895	2267	2352	2584	1961	2794	2503	2426
NM_001308248	chr1	92508695	92792404	-	283710	3117	4495	3845	4577	3676	2920	2960	3291	4303	3500	2860	2956
NM_001160301	chr1	97719757	97921059	-	201303	24	38	29	34	26	31	17	16	45	20	10	23
NM_001256856	chr10	101354032	101557321	+	203290	1134	1589	1629	2129	1571	1181	1079	1083	1556	1244	991	1060
NM_024541	chr10	101845598	102056173	-	210576	337	322	439	404	379	371	325	334	351	381	304	316
NM_014631	chr10	103594026	103855406	-	261381	772	428	830	437	576	334	763	1255	318	979	1082	1061
NM_014978	chr10	104641289	105265242	+	623954	4	4	1	3	4	5	3	2	4	4	1	1
NM_001206571	chr10	106578662	107164706	-	586045	1852	4749	1695	2816	2054	1546	1481	1911	4544	1891	1895	1583
NM_001134363	chr10	110644335	110839468	+	195134	2808	2954	3397	3905	3316	2536	2341	2425	2411	2779	2593	2272
NM_145206	chr10	112446987	112818744	+	371758	2596	2535	3100	3289	2876	2004	2602	2998	2118	3111	2712	2763
NM_001198530	chr10	112950249	113167677	+	217429	791	1759	1212	1311	1028	922	684	680	1449	724	639	658
NM_002313	chr10	114431111	114658275	-	227165	8	37	16	12	13	10	7	4	39	3	9	7
NM_207303	chr10	115093364	115948998	+	855635	7	13	13	8	6	6	3	8	16	6	7	7
NM_001145453	chr10	116056930	116273645	-	216716	1	1	4	1	1	2	2	1	0	3	0	0
NM_018702	chr10	1177312	1737525	-	560214	3	15	4	4	4	5	2	6	25	4	5	1
NM_005308	chr10	119207570	119459745	+	252176	422	519	548	433	405	403	359	585	425	474	437	482
NM_001288736	chr10	121740420	121928801	-	188382	1795	1947	2085	2411	2023	1482	1714	1828	1710	1882	1641	1584
NM_020397	chr10	12349546	12826464	+	476919	58	153	85	95	60	64	41	48	163	60	40	48
NM_021641	chr10	126041343	126388477	-	347135	39	122	32	60	41	38	18	27	161	27	34	19
NM_001380	chr10	126905408	127452517	+	547110	3	1	4	8	6	3	3	5	7	10	10	9
NM_001282658	chr10	12896624	13099989	-	203366	3	32	22	30	22	23	4	8	50	13	10	16
NM_002412	chr10	129467240	129770983	+	303744	28	58	42	46	24	29	16	27	40	31	25	26
NM_174937	chr10	131092390	131311721	-	219332	1	8	2	4	1	4	1	1	6	1	3	0
NM_005539	chr10	132537786	132783480	+	245695	1773	2706	2580	2072	1934	1881	1565	1952	2040	1963	1800	1740
NM_001318337	chr10	13643705	13971896	-	328192	328	267	310	275	319	195	276	368	230	381	386	307
NM_031453	chr10	14518556	14774897	-	256342	137	440	103	237	139	124	54	78	491	129	97	50
NM_003638	chr10	15513953	15719922	-	205970	4	33	9	13	7	14	4	6	25	5	7	13
NM_152724	chr10	16590617	16817454	-	226838	1212	2705	1804	2462	1732	1570	1115	1200	2428	1338	1148	1126
NM_001081	chr10	16823965	17129817	-	305853	138	464	153	255	198	120	117	131	569	152	142	116
NM_201590	chr10	18340708	18543557	+	202850	3	16	8	8	4	8	1	4	34	2	7	4
NM_001142308	chr10	19048800	19734478	+	685679	10	7	9	11	6	7	5	11	8	8	8	2
NM_032812	chr10	19816431	20289855	+	473425	8	10	9	14	7	10	4	11	12	10	13	8
NM_213569	chr10	20779973	21174187	-	394215	2730	3994	2207	3542	2801	1825	1808	2029	3695	2767	2577	1889
NM_022365	chr10	21756547	22003730	-	247184	4549	4930	5273	6272	5164	3847	4237	4648	4606	4877	4197	4143
NM_001098500	chr10	23694726	24547843	+	853118	9	15	11	15	11	20	8	11	19	9	14	11
NM_020752	chr10	25175000	25602228	+	427229	1138	1428	1166	1481	1204	801	1075	1233	1258	1248	1090	1058
NM_017433	chr10	25934228	26212532	+	278305	0	3	2	4	4	5	3	6	8	1	3	2
NM_014974	chr10	274200	689668	-	415469	9	82	25	22	12	17	14	18	63	18	15	9
NM_001318170	chr10	28050993	28303064	-	252072	76	191	130	149	104	110	84	67	162	68	74	52
NM_003174	chr10	29457347	29735801	-	278455	10	28	9	20	8	11	8	12	17	23	15	9
NM_182755	chr10	30844635	31031937	-	187303	418	497	487	528	476	364	368	471	459	464	431	443
NM_001323643	chr10	31318416	31529804	+	211389	1195	2342	1374	2003	1585	1208	1281	1325	2214	1353	1172	1208
NM_001184792	chr10	34312259	34815325	-	503067	1440	2083	1804	1927	1615	1254	1351	1514	1947	1501	1349	1411
NM_145012	chr10	35336508	35572666	+	236159	5376	6888	6795	6790	5860	4602	5039	5868	5950	6067	5339	5497
NM_020945	chr10	48685462	48982956	+	297495	5	61	11	10	12	8	6	1	73	14	8	3
NM_147156	chr10	50305600	50623956	-	318357	18552	18381	22355	24508	21705	15139	17020	16851	16905	18967	15519	16801
NM_006258	chr10	51074486	52298350	+	1223865	73	106	83	90	59	80	50	45	108	49	37	55
NM_033056	chr10	53821098	54801231	-	980134	9	8	2	8	16	8	10	11	6	7	7	10
NM_001080512	chr10	58512871	58831435	+	318565	5	8	11	6	10	5	2	1	12	6	4	2
NM_032199	chr10	61901698	62096944	+	195247	372	1509	590	776	561	546	389	451	1282	416	331	380
NM_199451	chr10	62374368	62672010	+	297643	8	7	2	3	4	5	2	5	8	4	1	4
NM_013266	chr10	65912522	67696195	-	1783674	22	45	20	21	30	24	13	27	42	18	26	30
NM_001171932	chr10	71396933	71617605	+	220673	14	36	32	24	17	29	15	32	56	16	28	19
NM_001029880	chr10	7158623	7411486	-	252864	4828	10118	6811	7294	5890	4948	4690	5090	8950	5253	4689	4781
NM_006077	chr10	72367325	72626191	-	258867	4136	8672	5693	7430	5389	4492	3845	3895	8103	4197	3348	3662
NM_138357	chr10	72692130	72887694	+	195565	2783	11566	3884	6426	3977	3551	2942	3020	11016	2947	2561	2671
NM_001202450	chr10	74151184	74709303	+	558120	12647	13396	14388	16606	14515	10003	12418	13438	10683	13722	12069	12293
NM_001305581	chr10	75431623	76560168	+	1128546	11	53	20	35	33	16	16	11	79	34	22	14
NM_002247	chr10	76884882	77637808	-	752927	94	129	117	124	107	95	77	92	135	119	97	102
NM_031923	chr10	7818504	8016631	+	198128	2297	2579	2841	3181	2648	2397	2363	2395	2319	2488	2193	2401
NM_020338	chr10	79068965	79316518	+	247554	5934	8863	8758	6161	6251	5962	5720	7783	6146	6738	7214	6806
NM_001165973	chr10	81877686	82987179	+	1109494	16	13	14	7	5	11	2	11	19	6	16	5
NM_017551	chr10	85599552	86366795	-	767244	593	701	565	390	517	322	542	759	687	709	747	673
NM_001031709	chr10	88284101	88583318	-	299218	37	98	48	60	53	50	37	31	91	43	28	34
NM_014912	chr10	92046691	92291078	-	244388	1513	2432	1444	2172	1654	1169	1098	1331	2320	1478	1423	1170
NM_001013848	chr10	92826830	93059494	+	232665	5050	4954	5588	6696	5683	4098	4688	5082	4773	5384	4463	4836
NM_016341	chr10	93993930	94332823	+	338894	7	28	7	14	8	8	5	13	27	11	8	9
NM_024991	chr10	95311772	95561371	-	249600	1126	2814	1509	1697	1320	1208	1093	1048	2592	1121	914	1063
NM_003061	chr10	96998037	97185959	-	187923	27	40	37	32	29	30	23	34	45	33	27	25
NM_021828	chr10	98457076	99235875	-	778800	47	101	59	74	62	34	48	78	151	62	67	61
NM_152432	chr11	100687287	100993941	+	306655	528	1598	746	1066	683	656	478	543	1474	505	463	545
NM_001377	chr11	103109425	103479863	+	370439	34	131	63	104	68	43	42	38	121	50	51	36
NM_033135	chr11	103907190	104164147	-	256958	1	2	2	0	0	2	2	3	2	1	2	1
NM_000829	chr11	105610072	105982090	+	372019	3	2	1	4	3	2	2	2	1	4	5	2
NM_001256424	chr11	106674018	107018476	-	344459	9	10	5	16	14	11	8	17	18	8	9	10
NM_004398	chr11	108665068	108940926	+	275859	4303	1860	4843	4109	4344	2722	4670	5301	1417	5254	4520	4719
NM_198516	chr11	11270878	11622005	-	351128	27	53	31	27	20	24	21	28	74	41	36	29
NM_181351	chr11	112961419	113278436	+	317018	8	27	10	11	11	5	4	9	36	6	4	1
NM_006006	chr11	114059710	114256765	+	197056	47	136	61	90	66	50	37	65	148	67	64	57
NM_014333	chr11	115169235	115504415	-	335181	0	8	0	3	3	2	0	3	7	1	3	3
NM_025164	chr11	116843409	117098428	-	255020	4543	7557	6399	7392	5794	4547	4831	4756	7140	4705	4127	4446
NM_020693	chr11	117427771	117797216	-	369446	3	21	3	13	5	4	7	4	52	2	5	0
NM_014619	chr11	120511745	120988804	+	477060	10	96	19	25	14	22	14	10	94	11	10	12
NM_003105	chr11	121452313	121633763	+	181451	6	9	4	6	7	2	4	2	6	3	2	6
NM_022062	chr11	125164750	125433389	+	268640	7	41	8	15	12	11	10	14	60	9	12	10
NM_001161707	chr11	126430941	127000870	-	569930	9	60	8	26	9	12	9	15	79	11	11	8
NM_021961	chr11	12674420	12944737	+	270318	3251	6294	5030	5890	4183	3589	3125	3140	5523	3343	2894	3055
NM_001142685	chr11	128965059	129192198	-	227140	2	5	0	4	2	3	1	2	2	2	2	3
NM_001048209	chr11	131370614	132336822	+	966209	5	8	6	6	4	4	4	5	12	14	5	5
NM_001319104	chr11	132414664	133532501	-	1117838	5	10	5	4	3	7	9	4	9	7	9	4
NM_006108	chr11	13962722	14268133	+	305412	5	14	2	6	7	6	4	6	8	10	4	3
NM_000922	chr11	14643803	14872044	+	228242	3533	4806	3757	5029	4276	3117	3345	3557	4522	3802	3190	3327
NM_001145811	chr11	15966448	16408856	-	442409	2931	3941	2806	4284	3492	2056	2520	2827	3842	3073	2686	2493
NM_175058	chr11	16787481	17014414	-	226934	51	112	55	64	48	46	43	39	89	44	32	44
NM_012139	chr11	17788049	18013047	-	224999	2248	1488	2601	2200	2254	1720	2090	2400	1375	2575	2345	2254
NM_006157	chr11	20669585	21575683	+	906099	5	9	4	11	8	5	6	8	5	7	5	7
NM_001252010	chr11	24497052	25082638	+	585587	9	8	4	9	8	8	2	12	5	8	6	4
NM_001313727	chr11	26473901	26663289	+	189389	27	29	33	46	19	32	17	22	37	14	29	26
NM_152636	chr11	28108387	28333507	+	225121	3636	3761	3428	4862	3823	2580	3189	3448	3465	4026	3285	3343
NM_019040	chr11	31509766	31790322	+	280557	2806	6435	3332	5262	3640	2705	2683	2637	5958	2949	2215	2550
NM_001008391	chr11	32602079	32794658	-	192580	8	27	7	11	4	10	1	6	29	7	9	9
NM_012194	chr11	33376107	33674100	+	297994	4	12	8	7	6	5	0	5	14	6	6	4
NM_145804	chr11	34150986	34358010	-	207025	48	1139	92	165	72	101	55	57	1348	73	51	45
NM_174902	chr11	35944061	36232136	+	288076	1159	1112	1598	1371	1342	1082	1168	1745	925	1398	1618	1349
NM_001277962	chr11	3855663	4093208	+	237546	4206	3674	4642	4971	4571	3044	3509	3820	2918	4412	3833	3576
NM_020929	chr11	40114200	41459636	-	1345437	5	16	9	10	15	11	13	7	10	4	12	4
NM_130783	chr11	44726961	44932423	+	205463	45	219	72	86	48	69	26	49	233	50	46	42
NM_016621	chr11	45929318	46120985	-	191668	4261	4989	4430	6636	5039	3707	3405	3277	4086	3947	3137	3196
NM_001300731	chr11	46396413	46594023	-	197611	4258	5051	5679	6118	4930	4001	3825	4422	4281	4429	4058	3895
NM_001003678	chr11	46936760	47164384	+	227625	1477	2176	1821	2264	1750	1423	1356	1638	2054	1486	1352	1386
NM_133266	chr11	70467854	70661841	-	193988	2	23	2	8	9	7	2	12	36	3	9	3
NM_175733	chr11	7251903	7469043	+	217141	7	8	11	10	7	5	9	10	5	9	5	12
NM_014824	chr11	72836744	73142318	-	305575	2533	1774	2806	2994	2856	1769	2418	2676	1308	2780	2439	2481
NM_015159	chr11	73400486	73598112	-	197627	943	1416	1333	1506	1104	1038	874	931	1286	935	819	889
NM_003369	chr11	75815209	76144232	+	329024	4861	5441	5672	6459	5484	3851	4873	5061	4685	5311	4515	4842
NM_080491	chr11	78215292	78417820	-	202529	6650	10911	6875	11888	8360	6209	4006	5074	9529	6577	5783	3976
NM_001098816	chr11	78652828	79441030	-	788203	8	36	10	18	6	11	8	9	45	9	10	7
NM_001142699	chr11	83455012	85627270	-	2172259	309	587	377	484	379	302	278	295	516	322	226	316
NM_030906	chr11	8391869	8593976	-	202108	10	36	7	8	8	9	6	4	27	7	4	3
NM_006680	chr11	86441107	86672385	-	231279	9	18	11	8	8	3	4	13	33	12	9	5
NM_022918	chr11	87037933	87328824	+	290892	6031	8620	7673	10619	7632	6006	6209	6018	9215	6325	5132	5825
NM_001143831	chr11	88504575	89048072	-	543498	6	11	8	9	5	8	0	4	18	1	3	4
NM_001143837	chr11	89324353	89589557	-	265205	2	2	2	3	2	1	0	2	3	0	2	0
NM_001008781	chr11	92352095	92896469	+	544375	9	8	8	11	8	5	3	8	11	6	10	7
NM_032427	chr11	95976599	96343195	-	366597	5854	8821	6244	8948	7106	4883	4792	5188	7703	6017	5032	4796
NM_030962	chr11	9778666	10294207	-	515542	1452	1941	1662	1942	1629	1254	1538	1689	1502	1560	1320	1522
NM_175566	chr11	99556144	100358885	+	802742	4	10	14	11	5	2	7	4	8	6	3	7
NM_001286616	chr12	100901645	101128641	+	226997	1	9	5	1	5	3	7	6	8	0	2	4
NM_198521	chr12	103301940	103495968	-	194029	0	3	3	1	1	0	0	2	9	1	2	2
NM_018413	chr12	104456947	104762014	+	305068	6967	23502	10663	13795	9574	9292	6452	6722	21645	7380	6465	6707
NM_015267	chr12	111034164	111350554	+	316391	27	55	36	37	25	33	23	20	73	25	38	34
NM_001109662	chr12	112160194	112382431	-	222238	4651	7673	6432	7290	5899	4747	4387	4653	6883	4873	4170	4318
NM_015335	chr12	115958575	116277186	-	318612	10914	14481	12349	14925	12290	8533	10864	11754	13379	11952	10307	10913
NM_001987	chr12	11649853	11895391	+	245539	2632	2080	3059	2944	2716	2087	2581	3142	1703	2868	2638	2914
NM_173598	chr12	117453011	117968990	-	515980	8	27	5	9	10	11	3	3	17	1	12	4
NM_016281	chr12	118149800	118372907	-	223108	5612	6744	6763	8076	6778	5189	5486	6154	6094	6228	5233	5626
NM_194286	chr12	118981540	119163051	+	181512	9	31	12	16	13	16	7	4	55	7	5	4
NM_178499	chr12	119334728	119541040	+	206313	1	86	9	16	4	7	2	5	136	7	4	4
NM_007174	chr12	119685790	119877320	-	191531	3607	1751	4382	3929	3818	2963	3468	3876	1361	3918	3792	3454
NM_006312	chr12	124324414	124567612	-	243199	4363	4340	7000	4244	4658	4395	4302	5779	2642	5233	5325	5055
NM_052907	chr12	125326615	125662377	+	335763	6	10	3	15	9	11	6	4	11	11	7	5
NM_001136103	chr12	128267402	128707915	+	440514	5	18	6	15	5	5	3	7	17	5	10	4
NM_133448	chr12	129071725	129904025	-	832301	11	44	19	30	13	30	16	18	75	17	17	19
NM_001351233	chr12	130431646	130716305	-	284660	11	37	7	11	4	6	4	7	63	6	9	7
NM_198827	chr12	130953906	131141468	+	187563	864	3017	1198	1356	973	1025	612	863	2582	889	925	749
NM_000834	chr12	13537336	13980356	-	443021	1	28	2	4	0	1	0	2	52	0	2	5
NM_030667	chr12	15322507	15598331	+	275825	53	66	59	88	51	68	31	33	88	45	29	46
NM_004570	chr12	18261539	18648418	+	386880	7	14	7	6	6	2	3	7	11	0	5	7
NM_000921	chr12	20369244	20684107	+	314864	6	9	7	6	11	5	9	6	4	8	11	4
NM_001261415	chr12	23529503	23951032	-	421530	2619	1244	1924	2889	2795	1409	1855	2549	1102	2785	2596	2001
NM_002223	chr12	26335351	26833194	-	497844	627	1594	792	1139	837	741	650	567	1678	605	596	571
NM_018318	chr12	28190455	28550166	+	359712	3816	2725	3843	4437	3899	2549	3682	4255	2551	4234	3534	3868
NM_001271783	chr12	29149277	29335616	+	186340	579	664	541	677	614	432	518	678	589	578	563	540
NM_001193451	chr12	29500839	29783942	-	283104	12	54	15	25	12	11	5	8	75	14	10	4
NM_006675	chr12	3077378	3286559	+	209182	127	334	225	193	150	161	114	135	301	137	102	126
NM_144973	chr12	31382225	31591136	-	208912	613	1150	780	1015	731	707	503	555	1155	648	542	479
NM_001714	chr12	32106846	32383633	+	276788	1677	4108	2099	2767	2083	1813	1650	1791	4177	1960	1719	1766
NM_001256536	chr12	3381348	3593972	+	212625	3	4	4	6	2	2	2	4	4	3	2	2
NM_153634	chr12	38652202	38905591	-	253390	808	1095	907	1117	880	566	772	904	1041	918	797	727
NM_052885	chr12	39755024	40106081	-	351058	3163	4068	3625	4703	3860	2782	3378	3417	3603	3450	2803	3152
NM_001164595	chr12	41188319	41574745	+	386427	10	16	18	10	14	17	9	8	12	5	9	8
NM_025003	chr12	43353865	43552203	-	198339	14	9	12	14	12	11	5	10	14	13	12	4
NM_001286213	chr12	43835860	44389762	+	553903	729	1312	905	1127	872	718	777	819	1221	822	719	790
NM_001145109	chr12	44508274	44875661	-	367388	51	46	39	51	42	27	17	38	47	52	45	42
NM_001142679	chr12	45216094	45440404	+	224311	3566	7496	4711	6366	4750	4005	3416	3294	7000	3663	3044	3214
NM_173602	chr12	50504984	50748657	+	243674	4503	7317	5869	6633	5384	4139	4481	4895	6903	5030	4388	4430
NM_001177984	chr12	51591235	51812864	+	221630	59	79	88	103	71	61	55	67	60	74	51	57
NM_001278596	chr12	5562655	5945259	-	382605	6	23	9	12	6	22	3	7	28	9	10	9
